Command,Sensor Data,Experiment ID,timestamp
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'H1'}","{'ch583': 6567, 'ch670': 6588, 'ch510': 4167, 'ch410': 560, 'ch620': 8660, 'ch470': 2755, 'ch550': 5700, 'ch440': 2438}",e24c27d5,43:21.2
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'H2'}","{'ch583': 6724, 'ch670': 6764, 'ch510': 4297, 'ch410': 577, 'ch620': 8904, 'ch470': 2850, 'ch550': 5847, 'ch440': 2537}",d00fb8cf,43:47.5
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'H3'}","{'ch583': 6814, 'ch670': 6882, 'ch510': 4364, 'ch410': 589, 'ch620': 9057, 'ch470': 2900, 'ch550': 5934, 'ch440': 2581}",eed74d2c,44:13.8
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'H4'}","{'ch583': 7017, 'ch670': 7095, 'ch510': 4497, 'ch410': 608, 'ch620': 9337, 'ch470': 2988, 'ch550': 6119, 'ch440': 2662}",335b272b,44:40.2
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'H5'}","{'ch583': 7294, 'ch670': 7372, 'ch510': 4667, 'ch410': 633, 'ch620': 9716, 'ch470': 3103, 'ch550': 6363, 'ch440': 2762}",cd6036bb,45:06.5
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'H6'}","{'ch583': 7462, 'ch670': 7528, 'ch510': 4774, 'ch410': 647, 'ch620': 9936, 'ch470': 3176, 'ch550': 6512, 'ch440': 2830}",44d9f49e,45:32.9
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'H7'}","{'ch583': 7505, 'ch670': 7568, 'ch510': 4808, 'ch410': 653, 'ch620': 10006, 'ch470': 3198, 'ch550': 6553, 'ch440': 2853}",95a3ebd6,45:59.3
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'H8'}","{'ch583': 7564, 'ch670': 7613, 'ch510': 4841, 'ch410': 657, 'ch620': 10089, 'ch470': 3219, 'ch550': 6609, 'ch440': 2873}",b0fb44dc,46:25.6
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'H9'}","{'ch583': 7591, 'ch670': 7625, 'ch510': 4843, 'ch410': 659, 'ch620': 10105, 'ch470': 3216, 'ch550': 6628, 'ch440': 2863}",50bd4ead,46:51.9
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'H10'}","{'ch583': 7837, 'ch670': 7817, 'ch510': 4978, 'ch410': 678, 'ch620': 10403, 'ch470': 3305, 'ch550': 6842, 'ch440': 2941}",c716c020,47:18.4
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'H11'}","{'ch583': 8069, 'ch670': 7996, 'ch510': 5102, 'ch410': 696, 'ch620': 10678, 'ch470': 3377, 'ch550': 7038, 'ch440': 3008}",f451b0ed,47:44.7
"{'R': 0, 'Y': 0, 'B': 0, 'well': 'H12'}","{'ch583': 8524, 'ch670': 8324, 'ch510': 5343, 'ch410': 727, 'ch620': 11190, 'ch470': 3526, 'ch550': 7422, 'ch440': 3152}",4124eb87,00:26.0
"{'R': 0, 'Y': 0, 'B': 0, 'well': 'C1'}","{'ch583': 7297, 'ch670': 7361, 'ch510': 4651, 'ch410': 625, 'ch620': 9654, 'ch470': 3082, 'ch550': 6329, 'ch440': 2754}",f0cff20c,06:10.3
